Category,car1,car2,car3,car4,car5,car6,car7
safety,Mazda_CX-7,audi s6,jeep wrangler,Lexus_LC,audi s8,Mercedes_CL-Class,Mazda3
luxury,Mazda_CX-7,Mercedes_GL-Class,audi rs7,audi a8,audi sq5,alfa romeo gt,audi s8
cozy,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
economic,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
safety#luxury,Mazda_CX-7,Mercedes_GL-Class,audi rs7,audi a8,audi sq5,alfa romeo gt,audi s8
safety#cozy,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
safety#economic,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
safety#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
safety#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
safety#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
safety#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
safety#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
safety#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
safety#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
safety#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
safety#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
safety#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
safety#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
safety#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
luxury#safety,Mazda_CX-7,Mercedes_GL-Class,audi rs7,audi a8,audi sq5,alfa romeo gt,audi s8
luxury#cozy,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
luxury#economic,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
luxury#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
luxury#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
luxury#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
luxury#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
luxury#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
luxury#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
luxury#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
luxury#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
luxury#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
luxury#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
luxury#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
luxury#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
cozy#safety,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
cozy#luxury,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
cozy#economic,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
cozy#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
cozy#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
cozy#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
cozy#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
cozy#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
cozy#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
cozy#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
cozy#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
cozy#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
cozy#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
cozy#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
cozy#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
economic#safety,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#luxury,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#cozy,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
economic#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
economic#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
economic#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
economic#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
economic#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
economic#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
economic#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
economic#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
economic#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
economic#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
economic#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
performance#safety,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#luxury,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#cozy,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#economic,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
performance#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
performance#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
performance#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
performance#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
performance#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
performance#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
performance#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
performance#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
performance#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
performance#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
mileage#safety,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#luxury,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#cozy,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#economic,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#performance,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
mileage#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
mileage#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
mileage#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
mileage#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
mileage#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
mileage#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
mileage#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
mileage#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
mileage#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
modern#safety,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#luxury,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#cozy,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#economic,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#performance,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#mileage,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
modern#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
modern#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
modern#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
modern#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
modern#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
modern#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
modern#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
modern#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
family#safety,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#luxury,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#cozy,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#economic,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#performance,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#mileage,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#modern,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
family#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
family#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
family#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
